ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,136.905208,4.711665,0.0,0.0,bruteforce
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,141.659029,4.753821,0.0,0.0,bruteforce
167772687,167772674,60.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64240.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,144.419127,2.760098,0.0,0.0,bruteforce
167772674,167772687,60.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,5792.0,1.0,0.0,0.0,0.0,0.0,18,0.000999,0.0,0.0,0.0,0,144.420126,0.000999,0.000999,0.000999,bruteforce
167772687,167772674,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64256.0,1.0,1.0,0.0,0.0,0.0,16,0.001931,0.0,0.0,0.0,0,144.422057,0.001931,0.00293,0.001931,bruteforce
167772687,167772674,74.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64256.0,1.0,1.0,22.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,144.423033,0.000976,0.003906,0.000976,bruteforce
167772674,167772687,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,5824.0,23.0,1.0,0.0,0.0,0.0,16,0.001006,0.0,0.0,0.0,0,144.424039,0.001006,0.004912,0.001006,bruteforce
167772674,167772687,90.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,5824.0,23.0,1.0,38.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,144.426969,0.00293,0.007842,0.00293,bruteforce
167772687,167772674,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64256.0,39.0,23.0,0.0,0.0,0.0,16,0.000942,0.0,0.0,0.0,0,144.427911,0.000942,0.008784,0.000942,bruteforce
167772687,167772674,1028.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64256.0,39.0,23.0,976.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,144.428888,0.000977,0.009761,0.000977,bruteforce
