"ip.src","ip.dst","ip.len","ip.flags.df","ip.flags.mf","ip.fragment","ip.fragment.count","ip.fragments","ip.ttl","ip.proto","tcp.window_size","tcp.ack","tcp.seq","tcp.len","tcp.stream","tcp.urgent_pointer","tcp.flags","tcp.analysis.ack_rtt","tcp.segments","tcp.reassembled.length","http.request","udp.port","frame.time_relative","frame.time_delta","tcp.time_relative","tcp.time_delta"
"10.0.2.2","10.0.2.15","52","Set","Not set","","","","64","TCP","9728","1363","1951","0","0","0","0x010","0.000975000","","","","","144.556743000","0.000975000","0.137616000","0.000975000"
"10.0.2.2","10.0.2.15","104","Set","Not set","","","","64","TCP","9728","1363","1951","52","0","0","0x018","","","","","","144.557719000","0.000976000","0.138592000","0.000976000"
"10.0.2.15","10.0.2.2","120","Set","Not set","","","","64","TCP","64128","2003","1363","68","0","0","0x018","0.002930000","","","","","144.560649000","0.002930000","0.141522000","0.002930000"
"","","","","","","","","","","","","","","","","","","","","","","144.573359000","0.012710000","",""
"","","","","","","","","","","","","","","","","","","","","","","144.575287000","0.001928000","",""
"10.0.2.2","8.8.8.8","68","Set","Not set","","","","64","UDP","","","","","","","","","","","","59266,53","144.577240000","0.001953000","",""
"10.0.2.2","10.0.2.15","52","Set","Not set","","","","64","TCP","9728","1431","2003","0","0","0","0x010","0.033182000","","","","","144.593831000","0.016591000","0.174704000","0.033182000"
"","","","","","","","","","","","","","","","","","","","","","","146.205710000","1.611879000","",""
"","","","","","","","","","","","","","","","","","","","","","","149.038123000","2.832413000","",""
"10.0.2.2","8.8.8.8","68","Set","Not set","","","","64","UDP","","","","","","","","","","","","59266,53","149.564288000","0.526165000","",""
"","","","","","","","","","","","","","","","","","","","","","","149.572096000","0.007808000","",""
"","","","","","","","","","","","","","","","","","","","","","","149.573072000","0.000976000","",""
"","","","","","","","","","","","","","","","","","","","","","","150.854857000","1.281785000","",""
"10.0.2.2","10.0.2.15","120","Set","Not set","","","","64","TCP","9728","1431","2003","68","0","0","0x018","","","","","","154.566781000","3.711924000","10.147654000","9.972950000"
"10.0.2.15","10.0.2.2","104","Set","Not set","","","","64","TCP","64128","2071","1431","52","0","0","0x018","0.002928000","","","","","154.569709000","0.002928000","10.150582000","0.002928000"
"10.0.2.15","10.0.2.2","52","Set","Not set","","","","64","TCP","64128","2071","1483","0","0","0","0x011","","","","","","154.569709000","0.000000000","10.150582000","0.000000000"
"10.0.2.2","10.0.2.15","52","Set","Not set","","","","64","TCP","9728","1483","2071","0","0","0","0x010","0.001955000","","","","","154.571664000","0.001955000","10.152537000","0.001955000"
"10.0.2.2","10.0.2.15","52","Set","Not set","","","","64","TCP","9728","1483","2071","0","0","0","0x011","","","","","","154.572638000","0.000974000","10.153511000","0.000974000"
"10.0.2.2","10.0.2.15","52","Set","Not set","","","","64","TCP","9728","1484","2072","0","0","0","0x010","0.003905000","","","","","154.573614000","0.000976000","10.154487000","0.000976000"
"10.0.2.15","10.0.2.2","52","Set","Not set","","","","64","TCP","64128","2072","1484","0","0","0","0x010","0.002927000","","","","","154.575565000","0.001951000","10.156438000","0.001951000"
"10.0.2.15","10.0.2.2","60","Set","Not set","","","","64","TCP","64240","0","0","0","1","0","0x002","","","","","","154.787358000","0.211793000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","Set","Not set","","","","64","TCP","64240","0","0","0","2","0","0x002","","","","","","154.787358000","0.000000000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","Set","Not set","","","","64","TCP","64240","0","0","0","3","0","0x002","","","","","","154.788333000","0.000975000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","Set","Not set","","","","64","TCP","64240","0","0","0","4","0","0x002","","","","","","154.789309000","0.000976000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","Set","Not set","","","","64","TCP","5792","1","0","0","1","0","0x012","0.002929000","","","","","154.790287000","0.000978000","0.002929000","0.002929000"
"10.0.2.2","10.0.2.15","60","Set","Not set","","","","64","TCP","5792","1","0","0","2","0","0x012","0.003903000","","","","","154.791261000","0.000974000","0.003903000","0.003903000"
"10.0.2.2","10.0.2.15","60","Set","Not set","","","","64","TCP","5792","1","0","0","3","0","0x012","0.003906000","","","","","154.792239000","0.000978000","0.003906000","0.003906000"
"10.0.2.2","10.0.2.15","60","Set","Not set","","","","64","TCP","5792","1","0","0","4","0","0x012","0.003917000","","","","","154.793226000","0.000987000","0.003917000","0.003917000"
"10.0.2.15","10.0.2.2","52","Set","Not set","","","","64","TCP","64256","1","1","0","1","0","0x010","0.003963000","","","","","154.794250000","0.001024000","0.006892000","0.003963000"
"10.0.2.15","10.0.2.2","74","Set","Not set","","","","64","TCP","64256","1","1","22","1","0","0x018","","","","","","154.795165000","0.000915000","0.007807000","0.000915000"
"10.0.2.15","10.0.2.2","52","Set","Not set","","","","64","TCP","64256","1","1","0","2","0","0x010","0.004884000","","","","","154.796145000","0.000980000","0.008787000","0.004884000"
"10.0.2.15","10.0.2.2","74","Set","Not set","","","","64","TCP","64256","1","1","22","2","0","0x018","","","","","","154.796145000","0.000000000","0.008787000","0.000000000"
"10.0.2.15","10.0.2.2","52","Set","Not set","","","","64","TCP","64256","1","1","0","3","0","0x010","0.004878000","","","","","154.797117000","0.000972000","0.008784000","0.004878000"
"10.0.2.15","10.0.2.2","74","Set","Not set","","","","64","TCP","64256","1","1","22","3","0","0x018","","","","","","154.798093000","0.000976000","0.009760000","0.000976000"
