"ip.src","ip.dst","ip.len","ip.flags.df","ip.flags.mf","ip.fragment","ip.fragment.count","ip.fragments","ip.ttl","ip.proto","tcp.window_size","tcp.ack","tcp.seq","tcp.len","tcp.stream","tcp.urgent_pointer","tcp.flags","tcp.analysis.ack_rtt","tcp.segments","tcp.reassembled.length","http.request","udp.port","frame.time_relative","frame.time_delta","tcp.time_relative","tcp.time_delta"
"10.10.10.1","10.10.10.130","40","Set","Not set","","","","128","TCP","131328","1","1","0","5","0","0x010","0.001476508","","","","","3.562477215","0.000142665","0.001504127","0.001476508"
"10.10.10.1","10.10.10.130","679","Set","Not set","","","","128","TCP","131328","1","1","639","5","0","0x018","","","","True","","3.562507350","0.000030135","0.001534262","0.000030135"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","64128","640","1","0","5","0","0x010","0.000010883","","","","","3.562518233","0.000010883","0.001545145","0.000010883"
"10.10.10.1","10.10.10.130","40","Set","Not set","","","","128","TCP","131328","1","1","0","6","0","0x010","0.000833821","","","","","3.562649514","0.000131281","0.000854258","0.000833821"
"10.10.10.1","10.10.10.130","680","Set","Not set","","","","128","TCP","131328","1","1","640","6","0","0x018","","","","True","","3.562670539","0.000021025","0.000875283","0.000021025"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","64128","641","1","0","6","0","0x010","0.000009358","","","","","3.562679897","0.000009358","0.000884641","0.000009358"
"10.10.10.130","10.10.10.1","386","Set","Not set","","","","64","TCP","64128","1179","291","346","1","0","0x018","","","","","","3.576493490","0.013813593","0.639411338","0.016365056"
"10.10.10.1","10.10.10.130","677","Set","Not set","","","","128","TCP","130560","637","1179","637","1","0","0x018","0.005457708","","","True","","3.581951198","0.005457708","0.644869046","0.005457708"
"10.10.10.130","10.10.10.1","386","Set","Not set","","","","64","TCP","64128","1192","261","346","2","0","0x018","","","","","","3.587389541","0.005438343","0.649942570","0.027090473"
"10.10.10.1","10.10.10.130","680","Set","Not set","","","","128","TCP","130560","607","1192","640","2","0","0x018","0.006469749","","","True","","3.593859290","0.006469749","0.656412319","0.006469749"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","64128","1816","637","0","1","0","0x010","0.040535963","","","","","3.622487161","0.028627871","0.685405009","0.040535963"
